claim_id,claim,status,evidence_type,source_files,figure_or_table,manuscript_location,validation_or_support,scope_limit
C01,Open finite-domain defect decays algebraically with exponent set by interaction range,Primary,Analytical bound + deterministic numerical confirmation,data/static/static_fits.csv; data/static/static_local_slopes.csv,Figure 3,Associated manuscript: static finite-domain results,Operator tail O(N^-alpha); local slopes; rho-independence check,Applies to the studied normalized power-law kernel and central observation region
C02,"For alpha=0.8,1.2,1.6 the measured open exponents are consistent with beta_open approximately alpha",Primary,Deterministic numerical,data/headline_results.csv; data/table02_main_results.csv,Figure 3,Associated manuscript: abstract/results,Fits across both rho values; large-N local slopes; two-rho range is descriptive only (not a confidence interval or sampling uncertainty),Do not generalize to arbitrary kernels without new analysis
C03,Exact periodization reproduces the infinite-lattice Fourier symbol at allowed modes,Primary validation,Analytical identity + numerical validation,data/validation/operator_validation.csv,Figure 2 / Supplement,Associated manuscript: finite closures / validation,Maximum bundled identity error 4.44e-16,Identity is for compatible periodic Fourier modes
C04,FFT open operator agrees with explicit direct summation,Primary validation,Numerical implementation check,data/validation/operator_validation.csv; data/representative_raw/open_operator_fft_vs_direct_N64.csv,Supplement / reproducibility report,Associated manuscript: numerical validation,Maximum bundled component error 2.73e-15,Validation performed on representative N=64 random complex vector
C05,Numerical MI growth agrees with the independently calculated MI spectrum,Primary,Theory + deterministic numerical,data/dynamic/dynamic_fits.csv; data/dynamic/error_growth_rates.csv; data/headline_results.csv,"Figures 2,4,8",Associated manuscript: MI / dynamic results,Median error-growth ratio plus median absolute deviation from unity reported descriptively,Use tracks/consistent with; not exact equality for every case
C06,Early finite-domain field error follows the tested algebraic-in-N / exponential-in-Z MI scaling,Primary,Asymptotic prediction + deterministic numerical,data/dynamic/dynamic_diagnostics.csv; data/dynamic/dynamic_fits.csv,Figure 4,Associated manuscript: error amplification,"N-rescaling, growth-rate fits, dynamic exponent diagnostics",Early MI regime only; not a global late-time theorem
C07,Early deterministic fidelity horizon scales approximately as (beta/g) ln N plus an intercept,Primary,Asymptotic prediction + deterministic numerical,data/dynamic/fidelity_horizons_all_thresholds.csv; data/dynamic/horizon_scaling_fits.csv; data/headline_results.csv,"Figures 5,8",Associated manuscript: fidelity horizon,Multiple thresholds; slope-ratio summary; held-out domain tests,"Small-q alpha=0.8,rho=0.15 retained as pre-asymptotic stress case"
C08,The background-tail correction improves static and dynamic finite-domain fidelity,Primary secondary contribution,Analytical motivation + deterministic numerical,data/static/static_closure_scaling.csv; data/dynamic/dynamic_diagnostics.csv; data/dynamic/fidelity_horizons_all_thresholds.csv,"Figures 3,4,5",Associated manuscript: correction results,Open-vs-corrected errors and horizon shifts,Corrected asymptotic exponent is fixed-nonzero-q and not uniform q->0
C09,The corrected fixed-mode static exponent approaches roughly 1+alpha when oscillatory-tail asymptotics are resolved,Qualified,Asymptotic argument + numerical trend,data/static/static_local_slopes.csv; data/headline_results.csv,Figure 3,Associated manuscript: corrected closure,Large-N local slopes across cases,Qualified because small q approaches asymptotics slowly
C10,In the R=64 paired stochastic pilot the correction reduces Wasserstein distributional discrepancy,Secondary pilot,Paired stochastic pilot,data/stochastic/stochastic_pilot_summary.csv; data/headline_results.csv,"Figures 7,8",Associated manuscript: paired stochastic pilot,500 paired whole-realization bootstrap resamples; exact seed/config bundled,Not a production statistical or rare-event claim
C11,The bundled stochastic pilot does not justify converged extreme-event statistics,Scope guardrail,Methodological limitation,data/stochastic/stochastic_pilot_config.csv; LIMITATIONS_AND_CLAIM_SCOPE.md,Figure 7 caption / Discussion,Associated manuscript: stochastic limitations,R=64 and no production reference-domain doubling,Must remain explicit unless a larger production campaign is added
